Nom,Zone,Domaine,Format visite,Canal,Compte,Lien,Note
La Meule Permaculture,Bambous Virieux,Permaculture / bio / agro-tourisme,Visite + formation,Instagram,@lameule_permaculture,https://www.instagram.com/lameule_permaculture/,Très bon pour contenu terrain et pédagogie
Aranya Farm,Mauritius,Agroécologie / organic / regenerative,Visite à confirmer,Instagram,@aranyafarmmauritius,https://www.instagram.com/aranyafarmmauritius/,Bon angle bio et sol
The Green Shack,Marie-Jeanne,Permaculture / ferme éducative,Visite probable,Instagram,@the_greenshack,https://www.instagram.com/the_greenshack/,Bon angle gen Z / expérience
MicroFarm Mauritius,Curepipe,Micro-ferme / pépinière / plants bio,Visite pépinière,Facebook,Micro Farm Mauritius,https://www.facebook.com/microfarmmauritius/,"Bon pour plants, low-tech, vente directe"
Bio Farming in Mauritius,Chemin Grenier,Bio / élevage / culture locale,Visite à confirmer,Facebook,Bio Farming in Mauritius,https://www.facebook.com/BioFarmingInMauritius/,"Plus large, mais reste utile"
MauriBio,Beau Bassin,Bio / production locale,Visite à confirmer,Facebook,MauriBio,https://www.facebook.com/mauritiusbiofarming/,Jardin nourricier / home garden
GFT Gardens,Les Pailles,Agroécologie / production locale,Visite à confirmer,Facebook,GFT Gardens,https://www.facebook.com/growforthem/,Approche durable
ROC - Resilient Organic Community,Blue Bay / Mahébourg,Communauté organique / résilience,Visite / réseau,Web,ROC,https://ecosud.mu/roc-resilient-organic-community/?lang=en,Très bon pour récit collectif
Terganic Limitée,Bambous Virieux,Permaculture / design régénératif,Visite + formation,Web,Terganic / La Meule,https://seed.uno/enterprise-profiles/terganic-limitee-la-meule-permaculture-farm,Cohérent avec La Meule
FALCON Bio/Organic Farming Cooperative,Bois Pignolet,Bio / coopérative,Référence technique,Web,FALCON,https://www.mol-mauritius-fund.jp/en/projects/tabid117.html,À garder en bloc 3
FAREI - cours bio/hydroponie,Pamplemousses,Référence institutionnelle / formation,Référence,Institution,FAREI,https://farei.mu/farei2021/?page_id=3382,"Bloc technique, pas visite principale"
Bio Farm Mauritius,Mauritius,Production animale / bio food,À vérifier,Facebook,Bio Farm Mauritius,https://www.facebook.com/p/Bio-Farm-Mauritius-100087964391325/,À valider avant usage
Omnicane Britannia,Britannia,Organic garden / formation,Référence entreprise,Instagram,Omnicane,https://www.instagram.com/p/DSXZIx1jM8r/,Plutôt démonstrateur d’entreprise
Permaculture Mauritius group,Mauritius,Réseau permaculture,Communauté,Facebook Group,Permaculture Mauritius,https://www.facebook.com/groups/328573997235342/,Pour repérage et contacts
